id,title,titre,department,ministere,downloads_telechargements,month_mois,year_annee
362e89a0-8793-443c-9c4e-8607e9df1242,Evaluation of the Implementation of the Protective Behavioural Analysis Unit - Final Report,Évaluation de la mise en œuvre du Groupe d’analyse du comportement de protection - Rapport finale,Royal Canadian Mounted Police,Gendarmerie royale du Canada,86,3,2025
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,72,3,2025
00df4861-94fc-4d78-8ad4-0aa8cc8bb46e,GC HR and Pay - Deputy Minister Sponsoring Group,RH et paye du GC - Groupe de parrainage des sous-ministres,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,56,3,2025
01396e33-2c69-47e5-9381-32e717943b96,Algorithmic Impact Assessment – Advanced Analytics Triage of Visitor Record Applications,Évaluation de l'incidence algorithmique – Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",56,3,2025
540435ee-6b2a-4e61-8828-4f99353da8d2,RCMP Mass Casualty Commission Recommendation Position Notes,Notes de position sur les recommandations de la Commission des pertes massives de la GRC,Royal Canadian Mounted Police,Gendarmerie royale du Canada,56,3,2025
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,49,3,2025
0968ddc5-710e-4388-b379-184764df6f4c,Darlington New Nuclear Project - Information and Reports,Projet de nouvelle centrale nucléaire de Darlington -  Informations et rapports,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,48,3,2025
3abb5c74-3bbf-4647-b1c1-fe8390e98223,The Criminal Code of Canada,Le Code criminel du Canada,Department of Justice Canada,Ministère de la Justice Canada,48,3,2025
061ee9d1-a04a-4590-a381-df8527390f68,"GC HR and Pay - Algorithmic Impact Assessment (AIA), Leveraging Artificial Intelligence (AI) for backlog reduction: AI assistant prototype","RH et paye du GC - L’évaluation de l’incidence algorithmique,  Tirer parti de l’intelligence artificielle (IA) pour réduire les retards : prototype d’assistant IA",Public Services and Procurement Canada,Services publics et Approvisionnement Canada,47,3,2025
4f1c44a6-1ecf-4da7-a1da-058b1ff9ce06,Canada's Food Guide Research Tools - Data and Resources,Outils de recherche basés sur le Guide alimentaire canadien - Données et ressources,Health Canada,Santé Canada,47,3,2025
92615302-ffa9-4c8b-9e60-d1cc1e7f2b23,Evaluation of RCMP Police Dog Services - Final report,Évaluation des Services cynophiles de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,45,3,2025
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,43,3,2025
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,Algorithmic Impact Assessment - Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,Évaluation d'incidence algorithmique - le Triage au moyen de l’analyse avancée des demandes de visa de résident temporaire présentées depuis l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",42,3,2025
3d660210-da7f-4223-938a-fdc2e691f52b,GC HR and Pay - Artificial Intelligence (AI) Virtual Assistant,RH et paye du GC - Assistant virtuel d’intelligence artificielle (IA),Public Services and Procurement Canada,Services publics et Approvisionnement Canada,33,3,2025
50a1f207-ef60-4f9a-9d97-9b2bfa45a17a,Canada’s Fifth and Sixth Reports on the Convention on the Rights of the Child,Les cinquième et sixième rapports du Canada sur la Convention relative aux droits de l’enfant,Canadian Heritage,Patrimoine canadien,32,3,2025
791de1ec-7fc8-48f1-a4e4-8bbaebc67080,"Single Window Initiative, Integrated Import Declaration (IID) - Regulated Commodities - Data Element Matching Criteria Table","Initiative du guichet unique, Déclaration intégrée des importations (DII) - Marchandises réglementées — tables de critères de correspondance des éléments de données",Canada Border Services Agency,Agence des services frontaliers du Canada,891,2,2025
06d31e10-a2a8-4d53-9ff3-567714a0a9f3,Canadian Charter of Rights and Freedoms in various languages,Charte canadienne des droits et libertés en différentes langues,Canadian Heritage,Patrimoine canadien,271,2,2025
ac988c2a-ce33-4e8e-bf64-2c052c50892f,Radionuclide Information Booklet,Livret d'information sur les radionucléides,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,89,2,2025
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,Algorithmic Impact Assessment - Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,Évaluation d'incidence algorithmique - le Triage au moyen de l’analyse avancée des demandes de visa de résident temporaire présentées depuis l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",88,2,2025
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,85,2,2025
01396e33-2c69-47e5-9381-32e717943b96,Algorithmic Impact Assessment – Advanced Analytics Triage of Visitor Record Applications,Évaluation de l'incidence algorithmique – Triage au moyen de l’analytique avancée des demandes de fiche du visiteur,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",70,2,2025
4f1c44a6-1ecf-4da7-a1da-058b1ff9ce06,Canada's Food Guide Research Tools - Data and Resources,Outils de recherche basés sur le Guide alimentaire canadien - Données et ressources,Health Canada,Santé Canada,51,2,2025
1cb8a219-1f01-430d-8841-e09d4ac046c7,Research and Knowledge Translation Initiative for Suicide Prevention - Final Report,Initiative de recherche et d'application des connaissances pour la prévention du suicide - Rapport final,Public Health Agency of Canada,Agence de la santé publique du Canada,43,2,2025
e23241b9-36fa-4b02-968c-af7fed60ec03,GC HR and Pay - Program Management Committee,RH et paye du GC – Comité de gestion du programme,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,41,2,2025
6a679258-5a4f-4c99-bd39-d507f9567790,Evaluation of the RCMP Air Service Program - Final Report,Évaluation du Service de l'air de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,39,2,2025
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,38,2,2025
0968ddc5-710e-4388-b379-184764df6f4c,Darlington New Nuclear Project - Information and Reports,Projet de nouvelle centrale nucléaire de Darlington -  Informations et rapports,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,37,2,2025
3d660210-da7f-4223-938a-fdc2e691f52b,GC HR and Pay – AI Virtual Assistant,RH et paye du GC – Assistant virtuel (IA),Public Services and Procurement Canada,Services publics et Approvisionnement Canada,36,2,2025
3abb5c74-3bbf-4647-b1c1-fe8390e98223,The Criminal Code of Canada,Le Code criminel du Canada,Department of Justice Canada,Ministère de la Justice Canada,33,2,2025
00df4861-94fc-4d78-8ad4-0aa8cc8bb46e,GC HR and Pay - Deputy Minister Sponsoring Group,RH et paye du GC - Groupe de parrainage des sous-ministres,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,31,2,2025
57730f03-9002-4da8-b5e4-77fd422d924f,Audit of the RCMP Revenue Collection Practices - Final Report,Vérification des pratiques de perception des recettes de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,31,2,2025
92615302-ffa9-4c8b-9e60-d1cc1e7f2b23,Evaluation of RCMP Police Dog Services - Final report,Évaluation des Services cynophiles de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,29,2,2025
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,28,2,2025
40b50513-1356-4211-ae08-53580dbd32fa,RCMP Transparency and Trust Strategy Enabled by Open Government,Stratégie de transparence et de confiance facilitée par le gouvernement ouvert de la GRC,Royal Canadian Mounted Police,Gendarmerie royale du Canada,27,2,2025
544eb845-53f9-450a-b453-bea295628344,SSHRC's performance in 2023-24: Report on Competitions,Rendement du CRSH en 2023-2024 : Rapport sur les concours,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,27,2,2025
791de1ec-7fc8-48f1-a4e4-8bbaebc67080,"Single Window Initiative, Integrated Import Declaration (IID) - Regulated Commodities - Data Element Matching Criteria Table","Initiative du guichet unique, Déclaration intégrée des importations (DII) - Marchandises réglementées — tables de critères de correspondance des éléments de données",Canada Border Services Agency,Agence des services frontaliers du Canada,1000,1,2025
06d31e10-a2a8-4d53-9ff3-567714a0a9f3,Canadian Charter of Rights and Freedoms in various languages,Charte canadienne des droits et libertés en différentes langues,Canadian Heritage,Patrimoine canadien,272,1,2025
ac988c2a-ce33-4e8e-bf64-2c052c50892f,Radionuclide Information Booklet,Livret d'information sur les radionucléides,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,139,1,2025
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,91,1,2025
92615302-ffa9-4c8b-9e60-d1cc1e7f2b23,Evaluation of RCMP Police Dog Services - Final report,Évaluation des Services cynophiles de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,68,1,2025
3abb5c74-3bbf-4647-b1c1-fe8390e98223,The Criminal Code of Canada,Le Code criminel du Canada,Department of Justice Canada,Ministère de la Justice Canada,55,1,2025
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,55,1,2025
3d660210-da7f-4223-938a-fdc2e691f52b,GC HR and Pay – AI Virtual Assistant,RH et paye du GC – Assistant virtuel (IA),Public Services and Procurement Canada,Services publics et Approvisionnement Canada,54,1,2025
7612202f-1530-41ce-80c7-6e121f5fcadc,Algorithmic Impact Assessments Results - Voice 2 Text application,Résultats des évaluations algorithmiques de l’impact - application voix en texte,Royal Canadian Mounted Police,Gendarmerie royale du Canada,52,1,2025
6a679258-5a4f-4c99-bd39-d507f9567790,Evaluation of the RCMP Air Service Program - Final Report,Évaluation du Service de l'air de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,47,1,2025
4f1c44a6-1ecf-4da7-a1da-058b1ff9ce06,Canada's Food Guide Research Tools - Data and Resources,Outils de recherche basés sur le Guide alimentaire canadien - Données et ressources,Health Canada,Santé Canada,40,1,2025
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,Algorithmic Impact Assessment - Advanced Analytics Triage of Overseas Temporary Resident Visa Applications,Évaluation d'incidence algorithmique - le Triage au moyen de l’analyse avancée des demandes de visa de résident temporaire présentées depuis l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",40,1,2025
e23241b9-36fa-4b02-968c-af7fed60ec03,GC HR and Pay - Program Management Committee,RH et paye du GC – Comité de gestion du programme,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,38,1,2025
544eb845-53f9-450a-b453-bea295628344,SSHRC's performance in 2023-24: Report on Competitions,Rendement du CRSH en 2023-2024 : Rapport sur les concours,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,33,1,2025
00df4861-94fc-4d78-8ad4-0aa8cc8bb46e,GC HR and Pay - Deputy Minister Sponsoring Group,RH et paye du GC - Groupe de parrainage des sous-ministres,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,32,1,2025
40b50513-1356-4211-ae08-53580dbd32fa,RCMP Transparency and Trust Strategy Enabled by Open Government,Stratégie de transparence et de confiance facilitée par le gouvernement ouvert de la GRC,Royal Canadian Mounted Police,Gendarmerie royale du Canada,31,1,2025
